leaf_signature,parent,full_key,value,locale_count
sms.providerAligoDesc,crm.contentCal.reviews,crm.contentCal.reviews.sms.providerAligoDesc,Leading Korean SMS service,12
sms.providerAligoDesc,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.providerAligoDesc,Leading Korean SMS service,3
sms.providerCoolDesc,crm.contentCal.reviews,crm.contentCal.reviews.sms.providerCoolDesc,Developer-friendly SMS API,12
sms.providerCoolDesc,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.providerCoolDesc,Developer-friendly SMS API,3
sms.apiKeySettings,crm.contentCal.reviews,crm.contentCal.reviews.sms.apiKeySettings,API Key Settings,12
sms.apiKeySettings,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.apiKeySettings,API Key Settings,3
sms.senderNumber,crm.contentCal.reviews,crm.contentCal.reviews.sms.senderNumber,Sender Number,12
sms.senderNumber,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.senderNumber,Sender Number,3
sms.connectTesting,crm.contentCal.reviews,crm.contentCal.reviews.sms.connectTesting,Testing connection...,12
sms.connectTesting,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.connectTesting,Testing connection...,3
sms.saveAndTest,crm.contentCal.reviews,crm.contentCal.reviews.sms.saveAndTest,Save & Test,12
sms.saveAndTest,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.saveAndTest,Save & Test,3
sms.connectSuccess,crm.contentCal.reviews,crm.contentCal.reviews.sms.connectSuccess,Connected,12
sms.connectSuccess,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.connectSuccess,Connected,3
sms.balance,crm.contentCal.reviews,crm.contentCal.reviews.sms.balance,Balance,12
sms.balance,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.balance,Balance,3
sms.composeTitle,crm.contentCal.reviews,crm.contentCal.reviews.sms.composeTitle,Send SMS,12
sms.composeTitle,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.composeTitle,Send SMS,3
sms.recipientNumber,crm.contentCal.reviews,crm.contentCal.reviews.sms.recipientNumber,Recipient Number,12
sms.recipientNumber,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.recipientNumber,Recipient Number,3
sms.type,crm.contentCal.reviews,crm.contentCal.reviews.sms.type,Type,12
sms.type,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.type,Type,3
sms.charCount,crm.contentCal.reviews,crm.contentCal.reviews.sms.charCount,Characters,12
sms.charCount,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.charCount,Characters,3
sms.charUnit,crm.contentCal.reviews,crm.contentCal.reviews.sms.charUnit, chars,12
sms.charUnit,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.charUnit, chars,3
sms.capacity,crm.contentCal.reviews,crm.contentCal.reviews.sms.capacity,Capacity,12
sms.capacity,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.capacity,Capacity,3
sms.messageContent,crm.contentCal.reviews,crm.contentCal.reviews.sms.messageContent,Message Content,12
sms.messageContent,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.messageContent,Message Content,3
sms.messagePlaceholder,crm.contentCal.reviews,crm.contentCal.reviews.sms.messagePlaceholder,Enter your message...,12
sms.messagePlaceholder,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.messagePlaceholder,Enter your message...,3
sms.send,crm.contentCal.reviews,crm.contentCal.reviews.sms.send,Send,12
sms.send,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.send,Send,3
sms.sendComplete,crm.contentCal.reviews,crm.contentCal.reviews.sms.sendComplete,Sent successfully,12
sms.sendComplete,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.sendComplete,Sent successfully,3
sms.sendFailed,crm.contentCal.reviews,crm.contentCal.reviews.sms.sendFailed,Send failed,12
sms.sendFailed,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.sendFailed,Send failed,3
sms.broadcastTitle,crm.contentCal.reviews,crm.contentCal.reviews.sms.broadcastTitle,Bulk Broadcast,12
sms.broadcastTitle,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.broadcastTitle,Bulk Broadcast,3
sms.numberList,crm.contentCal.reviews,crm.contentCal.reviews.sms.numberList,Number List,12
sms.numberList,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.numberList,Number List,3
sms.numbersCount,crm.contentCal.reviews,crm.contentCal.reviews.sms.numbersCount,numbers,12
sms.numbersCount,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.numbersCount,numbers,3
sms.broadcastMsgPlaceholder,crm.contentCal.reviews,crm.contentCal.reviews.sms.broadcastMsgPlaceholder,Enter broadcast message...,12
sms.broadcastMsgPlaceholder,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.broadcastMsgPlaceholder,Enter broadcast message...,3
sms.sending,crm.contentCal.reviews,crm.contentCal.reviews.sms.sending,Sending...,12
sms.sending,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.sending,Sending...,3
sms.startBroadcast,crm.contentCal.reviews,crm.contentCal.reviews.sms.startBroadcast,Start Broadcast,12
sms.startBroadcast,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.startBroadcast,Start Broadcast,3
sms.done,crm.contentCal.reviews,crm.contentCal.reviews.sms.done,Complete,12
sms.done,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.done,Complete,3
sms.success,crm.contentCal.reviews,crm.contentCal.reviews.sms.success,Success,12
sms.success,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.success,Success,3
sms.countUnit,crm.contentCal.reviews,crm.contentCal.reviews.sms.countUnit,",",12
sms.countUnit,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.countUnit,",",3
sms.total,crm.contentCal.reviews,crm.contentCal.reviews.sms.total,Total,12
sms.total,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.total,Total,3
sms.tplAll,crm.contentCal.reviews,crm.contentCal.reviews.sms.tplAll,All,12
sms.tplAll,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.tplAll,All,3
sms.tplSearch,crm.contentCal.reviews,crm.contentCal.reviews.sms.tplSearch,Search templates...,12
sms.tplSearch,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.tplSearch,Search templates...,3
sms.tplNew,crm.contentCal.reviews,crm.contentCal.reviews.sms.tplNew,New Template,12
sms.tplNew,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.tplNew,New Template,3
sms.tplEdit,crm.contentCal.reviews,crm.contentCal.reviews.sms.tplEdit,Edit Template,12
sms.tplEdit,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.tplEdit,Edit Template,3
sms.tplCreate,crm.contentCal.reviews,crm.contentCal.reviews.sms.tplCreate,Create Template,12
sms.tplCreate,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.tplCreate,Create Template,3
sms.tplName,crm.contentCal.reviews,crm.contentCal.reviews.sms.tplName,Template Name,12
sms.tplName,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.tplName,Template Name,3
sms.tplNamePh,crm.contentCal.reviews,crm.contentCal.reviews.sms.tplNamePh,Enter name,12
sms.tplNamePh,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.tplNamePh,Enter name,3
sms.tplCategory,crm.contentCal.reviews,crm.contentCal.reviews.sms.tplCategory,Category,12
sms.tplCategory,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.tplCategory,Category,3
sms.tplBody,crm.contentCal.reviews,crm.contentCal.reviews.sms.tplBody,Message Body,12
sms.tplBody,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.tplBody,Message Body,3
sms.tplBodyPh,crm.contentCal.reviews,crm.contentCal.reviews.sms.tplBodyPh,Enter message body...,12
sms.tplBodyPh,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.tplBodyPh,Enter message body...,3
sms.tplVars,crm.contentCal.reviews,crm.contentCal.reviews.sms.tplVars,Variables (comma-separated),12
sms.tplVars,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.tplVars,Variables (comma-separated),3
sms.cancel,crm.contentCal.reviews,crm.contentCal.reviews.sms.cancel,Cancel,12
sms.cancel,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.cancel,Cancel,3
sms.save,crm.contentCal.reviews,crm.contentCal.reviews.sms.save,Save,12
sms.save,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.save,Save,3
sms.loading,crm.contentCal.reviews,crm.contentCal.reviews.sms.loading,Loading...,12
sms.loading,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.loading,Loading...,3
sms.tplEmpty,crm.contentCal.reviews,crm.contentCal.reviews.sms.tplEmpty,No templates registered yet.,12
sms.tplEmpty,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.tplEmpty,No templates registered yet.,3
sms.edit,crm.contentCal.reviews,crm.contentCal.reviews.sms.edit,Edit,12
sms.edit,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.edit,Edit,3
sms.delete,crm.contentCal.reviews,crm.contentCal.reviews.sms.delete,Delete,12
sms.delete,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.delete,Delete,3
sms.campAll,crm.contentCal.reviews,crm.contentCal.reviews.sms.campAll,All,12
sms.campAll,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.campAll,All,3
sms.campNew,crm.contentCal.reviews,crm.contentCal.reviews.sms.campNew,New Campaign,12
sms.campNew,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.campNew,New Campaign,3
sms.campCreate,crm.contentCal.reviews,crm.contentCal.reviews.sms.campCreate,Create Campaign,12
sms.campCreate,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.campCreate,Create Campaign,3
sms.campName,crm.contentCal.reviews,crm.contentCal.reviews.sms.campName,Campaign Name,12
sms.campName,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.campName,Campaign Name,3
sms.campNamePh,crm.contentCal.reviews,crm.contentCal.reviews.sms.campNamePh,Enter campaign name,12
sms.campNamePh,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.campNamePh,Enter campaign name,3
sms.campTemplate,crm.contentCal.reviews,crm.contentCal.reviews.sms.campTemplate,Template,12
sms.campTemplate,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.campTemplate,Template,3
sms.campSelectTpl,crm.contentCal.reviews,crm.contentCal.reviews.sms.campSelectTpl,-- Select Template --,12
sms.campSelectTpl,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.campSelectTpl,-- Select Template --,3
sms.campSegment,crm.contentCal.reviews,crm.contentCal.reviews.sms.campSegment,Target Segment,12
sms.campSegment,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.campSegment,Target Segment,3
sms.campSegmentPh,crm.contentCal.reviews,crm.contentCal.reviews.sms.campSegmentPh,Segment ID or All,12
sms.campSegmentPh,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.campSegmentPh,Segment ID or All,3
sms.campSchedule,crm.contentCal.reviews,crm.contentCal.reviews.sms.campSchedule,Schedule Time,12
sms.campSchedule,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.campSchedule,Schedule Time,3
sms.campMessage,crm.contentCal.reviews,crm.contentCal.reviews.sms.campMessage,Message Content,12
sms.campMessage,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.campMessage,Message Content,3
sms.campMsgPh,crm.contentCal.reviews,crm.contentCal.reviews.sms.campMsgPh,Campaign message...,12
sms.campMsgPh,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.campMsgPh,Campaign message...,3
sms.campCreateBtn,crm.contentCal.reviews,crm.contentCal.reviews.sms.campCreateBtn,Create Campaign,12
sms.campCreateBtn,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.campCreateBtn,Create Campaign,3
sms.campEmpty,crm.contentCal.reviews,crm.contentCal.reviews.sms.campEmpty,No campaigns yet.,12
sms.campEmpty,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.campEmpty,No campaigns yet.,3
sms.campScheduleBtn,crm.contentCal.reviews,crm.contentCal.reviews.sms.campScheduleBtn,Schedule,12
sms.campScheduleBtn,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.campScheduleBtn,Schedule,3
sms.campSendNow,crm.contentCal.reviews,crm.contentCal.reviews.sms.campSendNow,Send Now,12
sms.campSendNow,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.campSendNow,Send Now,3
sms.campPause,crm.contentCal.reviews,crm.contentCal.reviews.sms.campPause,Pause,12
sms.campPause,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.campPause,Pause,3
sms.campResume,crm.contentCal.reviews,crm.contentCal.reviews.sms.campResume,Resume,12
sms.campResume,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.campResume,Resume,3
sms.tabCompose,crm.contentCal.reviews,crm.contentCal.reviews.sms.tabCompose,Compose,12
sms.tabCompose,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.tabCompose,Compose,3
sms.tabBroadcast,crm.contentCal.reviews,crm.contentCal.reviews.sms.tabBroadcast,Broadcast,12
sms.tabBroadcast,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.tabBroadcast,Broadcast,3
sms.tabTemplates,crm.contentCal.reviews,crm.contentCal.reviews.sms.tabTemplates,Templates,12
sms.tabTemplates,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.tabTemplates,Templates,3
sms.tabCampaigns,crm.contentCal.reviews,crm.contentCal.reviews.sms.tabCampaigns,Campaigns,12
sms.tabCampaigns,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.tabCampaigns,Campaigns,3
sms.tabHistory,crm.contentCal.reviews,crm.contentCal.reviews.sms.tabHistory,History,12
sms.tabHistory,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.tabHistory,History,3
sms.tabStats,crm.contentCal.reviews,crm.contentCal.reviews.sms.tabStats,Stats,12
sms.tabStats,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.tabStats,Stats,3
sms.tabSettings,crm.contentCal.reviews,crm.contentCal.reviews.sms.tabSettings,Settings,12
sms.tabSettings,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.tabSettings,Settings,3
sms.proMode,crm.contentCal.reviews,crm.contentCal.reviews.sms.proMode,Pro Mode,12
sms.proMode,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.proMode,Pro Mode,3
sms.demoMode,crm.contentCal.reviews,crm.contentCal.reviews.sms.demoMode,Demo Mode,12
sms.demoMode,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.demoMode,Demo Mode,3
sms.sent,crm.contentCal.reviews,crm.contentCal.reviews.sms.sent,Sent,12
sms.sent,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.sent,Sent,3
sms.ihubLinked,crm.contentCal.reviews,crm.contentCal.reviews.sms.ihubLinked,channels linked,12
sms.ihubLinked,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.ihubLinked,channels linked,3
sms.kpiSent,crm.contentCal.reviews,crm.contentCal.reviews.sms.kpiSent,Sent,12
sms.kpiSent,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.kpiSent,Sent,3
sms.kpiSuccess,crm.contentCal.reviews,crm.contentCal.reviews.sms.kpiSuccess,Success,12
sms.kpiSuccess,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.kpiSuccess,Success,3
sms.kpiFailed,crm.contentCal.reviews,crm.contentCal.reviews.sms.kpiFailed,Failed,12
sms.kpiFailed,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.kpiFailed,Failed,3
sms.ihubAutoDetect,crm.contentCal.reviews,crm.contentCal.reviews.sms.ihubAutoDetect,Integration Hub Auto-Detect,12
sms.ihubAutoDetect,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.ihubAutoDetect,Integration Hub Auto-Detect,3
sms.historyTitle,crm.contentCal.reviews,crm.contentCal.reviews.sms.historyTitle,Send History,12
sms.historyTitle,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.historyTitle,Send History,3
sms.noHistory,crm.contentCal.reviews,crm.contentCal.reviews.sms.noHistory,No send history yet.,12
sms.noHistory,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.noHistory,No send history yet.,3
sms.content,crm.contentCal.reviews,crm.contentCal.reviews.sms.content,Content,12
sms.content,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.content,Content,3
sms.status,crm.contentCal.reviews,crm.contentCal.reviews.sms.status,Status,12
sms.status,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.status,Status,3
sms.sendTime,crm.contentCal.reviews,crm.contentCal.reviews.sms.sendTime,Send Time,12
sms.sendTime,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.sendTime,Send Time,3
sms.statsSentThisMonth,crm.contentCal.reviews,crm.contentCal.reviews.sms.statsSentThisMonth,Sent This Month,12
sms.statsSentThisMonth,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.statsSentThisMonth,Sent This Month,3
sms.statsSuccessRate,crm.contentCal.reviews,crm.contentCal.reviews.sms.statsSuccessRate,Success Rate,12
sms.statsSuccessRate,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.statsSuccessRate,Success Rate,3
sms.statsBalance,crm.contentCal.reviews,crm.contentCal.reviews.sms.statsBalance,Remaining Points,12
sms.statsBalance,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.statsBalance,Remaining Points,3
sms.tabList,crm.contentCal.reviews,crm.contentCal.reviews.sms.tabList,Send History,12
sms.tabList,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.tabList,Send History,3
sms.tabNew,crm.contentCal.reviews,crm.contentCal.reviews.sms.tabNew,New Message,12
sms.tabNew,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.tabNew,New Message,3
sms.tabTemplate,crm.contentCal.reviews,crm.contentCal.reviews.sms.tabTemplate,Templates,12
sms.tabTemplate,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.tabTemplate,Templates,3
sms.filterAll,crm.contentCal.reviews,crm.contentCal.reviews.sms.filterAll,All,12
sms.filterAll,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.filterAll,All,3
sms.statusSent,crm.contentCal.reviews,crm.contentCal.reviews.sms.statusSent,Sent,12
sms.statusSent,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.statusSent,Sent,3
sms.statusFailed,crm.contentCal.reviews,crm.contentCal.reviews.sms.statusFailed,Failed,12
sms.statusFailed,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.statusFailed,Failed,3
sms.colRecipient,crm.contentCal.reviews,crm.contentCal.reviews.sms.colRecipient,Recipient,12
sms.colRecipient,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.colRecipient,Recipient,3
sms.colMessage,crm.contentCal.reviews,crm.contentCal.reviews.sms.colMessage,Message,12
sms.colMessage,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.colMessage,Message,3
sms.colDate,crm.contentCal.reviews,crm.contentCal.reviews.sms.colDate,Date,12
sms.colDate,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.colDate,Date,3
sms.emptyList,crm.contentCal.reviews,crm.contentCal.reviews.sms.emptyList,No send history.,12
sms.emptyList,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.emptyList,No send history.,3
sms.newTitle,crm.contentCal.reviews,crm.contentCal.reviews.sms.newTitle,New SMS Message,12
sms.newTitle,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.newTitle,New SMS Message,3
sms.recipientLabel,crm.contentCal.reviews,crm.contentCal.reviews.sms.recipientLabel,Recipient,12
sms.recipientLabel,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.recipientLabel,Recipient,3
sms.messageLabel,crm.contentCal.reviews,crm.contentCal.reviews.sms.messageLabel,Message Content,12
sms.messageLabel,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.messageLabel,Message Content,3
sms.sendBtn,crm.contentCal.reviews,crm.contentCal.reviews.sms.sendBtn,Send,12
sms.sendBtn,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.sendBtn,Send,3
sms.tplCat_promotion,crm.contentCal.reviews,crm.contentCal.reviews.sms.tplCat_promotion,Promotion,12
sms.tplCat_promotion,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.tplCat_promotion,Promotion,3
sms.tplCat_notification,crm.contentCal.reviews,crm.contentCal.reviews.sms.tplCat_notification,Notification,12
sms.tplCat_notification,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.tplCat_notification,Notification,3
sms.tplCat_authentication,crm.contentCal.reviews,crm.contentCal.reviews.sms.tplCat_authentication,Authentication,12
sms.tplCat_authentication,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.tplCat_authentication,Authentication,3
sms.tplCat_transaction,crm.contentCal.reviews,crm.contentCal.reviews.sms.tplCat_transaction,Transaction,12
sms.tplCat_transaction,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.tplCat_transaction,Transaction,3
sms.campStatus_draft,crm.contentCal.reviews,crm.contentCal.reviews.sms.campStatus_draft,Draft,12
sms.campStatus_draft,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.campStatus_draft,Draft,3
sms.campStatus_scheduled,crm.contentCal.reviews,crm.contentCal.reviews.sms.campStatus_scheduled,Scheduled,12
sms.campStatus_scheduled,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.campStatus_scheduled,Scheduled,3
sms.campStatus_sent,crm.contentCal.reviews,crm.contentCal.reviews.sms.campStatus_sent,Sent,12
sms.campStatus_sent,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.campStatus_sent,Sent,3
sms.campStatus_paused,crm.contentCal.reviews,crm.contentCal.reviews.sms.campStatus_paused,Paused,12
sms.campStatus_paused,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.campStatus_paused,Paused,3
sms.campStatus_failed,crm.contentCal.reviews,crm.contentCal.reviews.sms.campStatus_failed,Failed,12
