path,usage_count,sample_files
pages.marketingIntel.marketingIntel.aiPredict.adPerf.channel,0,
pages.marketingIntel.marketingIntel.aiPredict.adPerf.loading,0,
pages.marketingIntel.marketingIntel.aiPredict.adPerf.date,0,
pages.marketingIntel.marketingIntel.aiPredict.adPerf.impressions,0,
pages.marketingIntel.marketingIntel.aiPredict.adPerf.clicks,0,
pages.marketingIntel.marketingIntel.aiPredict.adPerf.conversions,0,
pages.marketingIntel.marketingIntel.aiPredict.adPerf.spend,0,
pages.marketingIntel.marketingIntel.aiPredict.adPerf.cpa,0,
pages.marketingIntel.marketingIntel.aiPredict.adPerf.roas,0,
pages.marketingIntel.marketingIntel.aiPredict.gdpr.required,0,
pages.marketingIntel.marketingIntel.aiPredict.gdpr.panelTitle,0,
pages.marketingIntel.marketingIntel.aiPredict.gdpr.panelSub,0,
pages.marketingIntel.marketingIntel.aiPredict.gdpr.savePref,0,
pages.marketingIntel.marketingIntel.aiPredict.gdpr.policyNote1,0,
pages.marketingIntel.marketingIntel.aiPredict.gdpr.privacyPolicy,0,
pages.marketingIntel.marketingIntel.aiPredict.gdpr.policyNote2,0,
pages.marketingIntel.marketingIntel.aiPredict.gdpr.cookiePolicy,0,
pages.marketingIntel.marketingIntel.aiPredict.gdpr.policyNote3,0,
pages.marketingIntel.marketingIntel.aiPredict.gdpr.bannerTitle,0,
pages.marketingIntel.marketingIntel.aiPredict.gdpr.bannerDesc,0,
pages.marketingIntel.marketingIntel.aiPredict.gdpr.currentConsentStatus,0,
pages.marketingIntel.marketingIntel.aiPredict.gdpr.consented,0,
pages.marketingIntel.marketingIntel.aiPredict.gdpr.notConsented,0,
pages.marketingIntel.marketingIntel.aiPredict.gdpr.consentDate,0,
pages.marketingIntel.marketingIntel.aiPredict.gdpr.unknown,0,
pages.marketingIntel.marketingIntel.aiPredict.gdpr.editSettings,0,
pages.marketingIntel.marketingIntel.aiPredict.gdpr.withdraw,0,
pages.marketingIntel.marketingIntel.aiPredict.gdpr.noConsentInfo,0,
pages.marketingIntel.marketingIntel.aiPredict.gdpr.consentNow,0,
pages.marketingIntel.marketingIntel.aiPredict.gdpr.platformStats,0,
pages.marketingIntel.marketingIntel.aiPredict.gdpr.totalVisitors,0,
