key,namespace_l2,value,locale_count,locales
dash.operations.super.aaRules,dash.operations,Automation Alert Rules,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.aaAdd,dash.operations,+ Add Rule,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.aaCond,dash.operations,Execution Condition,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.aaActive,dash.operations,Active,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.aaRuleName,dash.operations,Rule Name,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.aaRuleCond,dash.operations,"Condition (e.g., CTR < 1%)",12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.aaSave,dash.operations,Save Rule,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.aaAdmin,dash.operations,Aa Admin,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.aaAdminCmt,dash.operations,Aa Admin Cmt,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.aaLead,dash.operations,Aa Lead,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.aaLeadCmt,dash.operations,Aa Lead Cmt,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.aaTime1,dash.operations,"Today, ""09"":30 AM",12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.aaTime2,dash.operations,"Yesterday, ""14"":10 PM",12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.aaPostCmt,dash.operations,Post comment to dashboard,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.ihMeta,dash.operations,Meta Ads,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.ihGoogle,dash.operations,Google Ads,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.ihCafe,dash.operations,Cafe24,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.ihShopify,dash.operations,Shopify,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.ihSalesforce,dash.operations,Salesforce,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.ihSlack,dash.operations,Slack,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.ihAdvertising,dash.operations,Ad Channels,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.ihCommerce,dash.operations,Commerce,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.ihCrm,dash.operations,CRM,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.ihCollab,dash.operations,Collaboration Tools,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.ihMetaDesc,dash.operations,"Campaign, ad set",12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.ihGoogleDesc,dash.operations,"Search ads, display",12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.ihConnecting,dash.operations,Connecting...,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.ihConnect,dash.operations,Connect,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.clearCanvas,dash.operations,Clear Canvas,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.conStatConn,dash.operations,Connected,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.conStatConnProg,dash.operations,Connecting,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.conStatDiscon,dash.operations,Disconnect,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.conCopied,dash.operations,Copied!,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.conCopy,dash.operations,Copy,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.conLabelPermSel,dash.operations,Con Label Perm Sel,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.conAuthStart,dash.operations,Start Auth,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.conRefresh,dash.operations,Refresh,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.conDisconnect,dash.operations,Disconnect,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.conInputApiKey,dash.operations,Con Input Api Key,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.conApiConn,dash.operations,Con Api Conn,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
