key,l3_namespace,value,locale_count,locales
crm.contentCal.webPopup.badgeAB,crm.contentCal.webPopup,A/B Test,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.webPopup.badgeCvr,crm.contentCal.webPopup,CVR Track,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.webPopup.colTrigger,crm.contentCal.webPopup,Trigger,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.webPopup.linkBadge,crm.contentCal.webPopup,URL Linked,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.webPopup.linkCopy,crm.contentCal.webPopup,Copy,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.webPopup.guideABName,crm.contentCal.webPopup,A/B Test,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.omniChannel.prodColSKU,crm.contentCal.omniChannel,SKU,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.omniChannel.invColSKU,crm.contentCal.omniChannel,SKU,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.omniChannel.pageTitle,crm.contentCal.omniChannel,Omni-Channel Management,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.omniChannel.tabSync,crm.contentCal.omniChannel,Synchronization,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.omniChannel.addChannel,crm.contentCal.omniChannel,Add Channel,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.omniChannel.noChannels,crm.contentCal.omniChannel,No channels registered.,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.omniChannel.colName,crm.contentCal.omniChannel,Channel Name,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.omniChannel.active,crm.contentCal.omniChannel,Active,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.omniChannel.inactive,crm.contentCal.omniChannel,Inactive,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
